fecha,cetes_28
2010-08-10,4.54
2010-08-17,4.5
2010-08-24,4.47
2010-08-31,4.48
2010-09-07,4.48
2010-09-13,4.45
2010-09-21,4.36
2010-09-28,4.36
2010-10-05,4.18
2010-10-12,4.05
2010-10-19,4.03
2010-10-26,3.84
2010-11-01,3.85
2010-11-09,3.92
2010-11-16,3.94
2010-11-23,4.17
2010-11-30,4.35
2010-12-07,4.16
2010-12-14,4.18
2010-12-21,4.38
2010-12-28,4.45
2011-01-04,4.16
2011-01-11,4.2
2011-01-18,4.13
2011-01-25,4.05
2011-02-01,4.04
2011-02-08,4.05
2011-02-15,3.94
2011-02-22,4.14
2011-03-01,4.22
2011-03-08,4.28
2011-03-15,4.24
2011-03-22,4.3
2011-03-29,4.3
2011-04-05,4.26
2011-04-12,4.28
2011-04-18,4.33
2011-04-26,4.24
2011-05-03,4.24
2011-05-10,4.27
2011-05-17,4.34
2011-05-24,4.39
2011-05-31,4.43
2011-06-07,4.37
2011-06-14,4.38
2011-06-21,4.35
2011-06-28,4.33
2011-07-05,4.18
2011-07-12,4.15
2011-07-19,4.15
2011-07-26,4.08
2011-08-02,3.96
2011-08-09,3.99
2011-08-16,4.09
2011-08-23,4.17
2011-08-30,4.11
2011-09-06,4.17
2011-09-13,4.25
2011-09-20,4.27
2011-09-27,4.34
2011-10-04,4.35
2011-10-11,4.37
2011-10-18,4.35
2011-10-25,4.37
2011-10-31,4.38
2011-11-08,4.35
2011-11-15,4.35
2011-11-22,4.32
2011-11-29,4.39
2011-12-06,4.33
2011-12-13,4.33
2011-12-20,4.33
2011-12-27,4.31
2012-01-03,4.32
2012-01-10,4.26
2012-01-17,4.27
2012-01-24,4.24
2012-01-31,4.24
2012-02-07,4.34
2012-02-14,4.36
2012-02-21,4.35
2012-02-28,4.27
2012-03-06,4.27
2012-03-13,4.18
2012-03-20,4.21
2012-03-27,4.28
2012-04-02,4.25
2012-04-10,4.26
2012-04-17,4.33
2012-04-24,4.33
2012-04-30,4.33
2012-05-08,4.34
2012-05-15,4.42
2012-05-22,4.42
2012-05-29,4.44
2012-06-05,4.35
2012-06-12,4.35
2012-06-19,4.37
2012-06-26,4.27
2012-07-03,4.17
2012-07-10,4.16
2012-07-17,4.15
2012-07-24,4.13
2012-07-31,4.09
2012-08-07,4.09
2012-08-14,4.09
2012-08-21,4.23
2012-08-28,4.15
2012-09-04,4.17
2012-09-11,4.23
2012-09-18,4.15
2012-09-25,4.12
2012-10-02,4.2
2012-10-09,4.17
2012-10-16,4.23
2012-10-23,4.22
2012-10-30,4.33
2012-11-06,4.26
2012-11-13,4.31
2012-11-20,4.28
2012-11-27,4.25
2012-12-04,4.23
2012-12-10,4.14
2012-12-18,3.93
2012-12-24,3.91
2012-12-31,4.04
2013-01-08,4.12
2013-01-15,4.12
2013-01-22,4.26
2013-01-29,4.23
2013-02-05,4.22
2013-02-12,4.2
2013-02-19,4.19
2013-02-26,4.13
2013-03-05,4.07
2013-03-12,3.96
2013-03-19,3.95
2013-03-25,3.95
2013-04-02,3.88
2013-04-09,3.81
2013-04-16,3.81
2013-04-23,3.76
2013-04-29,3.76
2013-05-07,3.71
2013-05-14,3.72
2013-05-21,3.72
2013-05-28,3.71
2013-06-04,3.71
2013-06-11,3.77
2013-06-18,3.81
2013-06-25,3.82
2013-07-02,3.8
2013-07-09,3.83
2013-07-16,3.85
2013-07-23,3.9
2013-07-30,3.88
2013-08-06,3.84
2013-08-13,3.84
2013-08-20,3.83
2013-08-27,3.83
2013-09-03,3.83
2013-09-10,3.65
2013-09-17,3.56
2013-09-24,3.5
2013-10-01,3.44
2013-10-08,3.4
2013-10-15,3.38
2013-10-22,3.35
2013-10-29,3.38
2013-11-05,3.36
2013-11-12,3.39
2013-11-19,3.4
